candidate_id,rank,score,reasoning
CAND_0069030,36,-6.7904882,"The candidate has 9.7 years of experience, currently holds a Civil Engineer position, specializes in AI core skills, and maintains a 0.46 response rate."
CAND_0072833,37,-6.7933455,"The candidate has 10.8 years of experience, holds the title of Business Analyst, specializes in AI core skills, and maintains a response rate of 0.71."
CAND_0022395,38,-6.8023515,"The candidate has 14.1 years of experience, currently serves as an HR Manager, specializes in AI core skills (0), and maintains a 72% response rate."
CAND_0084377,39,-6.831152,"The candidate has 7.5 years of experience, holds a Civil Engineer title, possesses AI core skills at a level 0, and maintains a 0.71 response rate."
CAND_0093452,40,-6.832309,"The candidate has 4.2 years of experience, holds a Civil Engineer title, specializes in AI core skills (0), and maintains a 0.22 response rate."
CAND_0094357,41,-6.8340445,"The candidate has 13.3 years of experience, holds a Business Analyst title, specializes in AI core skills, and maintains a 0.75 response rate."
CAND_0040294,42,-6.84365,"The candidate has 10.6 years of experience, currently holds an HR Manager title, specializes in AI core skills with 0 identified skills, and maintains a 0.25 response rate."
CAND_0011036,43,-6.9831777,"The candidate has 12 years of experience, holds the title of Mechanical Engineer, specializes in AI core skills (0), and maintains a response rate of 0.67."
CAND_0073516,44,-7.0103455,"The candidate has 8.9 years of experience, holds the Customer Support role, possesses AI core skills with a score of 0, and maintains a 0.14 response rate."
CAND_0002895,45,-7.0181627,"The candidate has 10.1 years of experience, holds the title of Marketing Manager, specializes in AI core skills, and maintains a 0.69 response rate."
CAND_0079110,46,-7.056663,"The candidate has 8.1 years of experience, holds the title of Civil Engineer, specializes in AI core skills, and maintains a response rate of 0.63."
CAND_0021804,47,-7.101385,"The candidate has 14.8 years of experience, holds a Civil Engineer title, specializes in AI core skills (0), and maintains a 0.72 response rate."
CAND_0046689,48,-7.104373,"The candidate has 2.3 years of experience, holds a Business Analyst title, specializes in AI core skills (0), and maintains a 0.63 response rate."
CAND_0039464,49,-7.117917,"The candidate has 11.1 years of experience, holds the title of HR Manager, possesses AI core skills (0), and maintains a response rate of 0.63."
CAND_0040469,50,-7.1336474,"The candidate has 4.9 years of experience, holds a Graphic Designer title, specializes in AI core skills (0), and maintains a 0.22 response rate."
CAND_0026822,51,-7.1560974,"The candidate has 7.1 years of experience, holds the title of Accountant, specializes in AI core skills, and maintains a 0.15 response rate."
CAND_0069139,52,-7.1567025,"The candidate has 5.5 years of experience, holds the title of Sales Executive, excels in AI core skills (0), and maintains a 69% response rate."
CAND_0005728,53,-7.157381,"The candidate has 7.4 years of experience, holds the title of Accountant, possesses AI core skills rated at 0, and maintains a response rate of 66%."
CAND_0031486,54,-7.1689816,"The candidate has 10.1 years of experience, holds the Customer Support title, specializes in AI core skills, and maintains a response rate of 0.34."
CAND_0051903,55,-7.173621,"The candidate has 14.3 years of experience, holds the title of Content Writer, specializes in AI core skills (0), and maintains a response rate of 0.12."
CAND_0057525,56,-7.2096786,"The candidate has 11.7 years of experience, holds a Mechanical Engineer position, specializes in AI core skills (0), and maintains a 0.77 response rate."
CAND_0084395,57,-7.2522626,"The candidate has 9.9 years of experience, holds the title of Mechanical Engineer, specializes in AI core skills with a score of 0, and maintains a response rate of 0.46"
CAND_0046185,58,-7.517982,"The candidate holds an 8.1-year experience, works as a Business Analyst, specializes in AI core skills (0), and maintains a 24% response rate."
CAND_0076069,59,-7.5488925,"The candidate has 14.4 years of experience as a Civil Engineer, specializes in AI core skills, and maintains a 0.08 response rate."
CAND_0016059,60,-7.5898795,"The candidate has 11.3 years of experience, holds a Customer Support title, specializes in AI core skills with 0, and maintains a 0.09 response rate."
CAND_0062931,61,-7.677379,"The candidate has 2.6 years of experience, holds a Civil Engineer title, focuses on AI core skills, and maintains a 60% response rate."
CAND_0009828,62,-7.6915193,"The candidate has 10.3 years of experience, holds the Operations Manager title, specializes in AI core skills, and maintains a 0.34 response rate."
CAND_0071247,63,-7.7255163,"The candidate has 1.7 years of experience, holds the title HR Manager, specializes in AI core skills (0), and maintains a 18% response rate."
CAND_0049088,64,-7.7382145,"The candidate has 10.3 years of experience, holds the title of Accountant, possesses AI core skills with a score of 0, and maintains a response rate of 0.52."
CAND_0045346,65,-7.7707067,"The candidate has 3.8 years of experience, holds a Sales Executive title, specializes in AI core skills, and maintains a 0.36 response rate."
CAND_0016878,66,-7.782386,"The candidate has 9.4 years of experience, holds an HR Manager title, specializes in AI core skills (0), and maintains a 10% response rate."
CAND_0018934,67,-7.785248,"The candidate has 8.9 years of experience, holds the Marketing Manager title, specializes in AI core skills, and maintains a 0.21 response rate."
CAND_0095643,68,-7.7941732,"The candidate has 12.1 years of experience, holds the HR Manager title, specializes in AI core skills, and maintains a 0.71 response rate."
CAND_0080635,69,-7.8060994,"The candidate has 8.1 years of experience, holds the title of Accountant, specializes in AI core skills (0), and maintains a response rate of 61%."
CAND_0049716,70,-7.8254604,"The candidate has 7.1 years of experience, holds the title of HR Manager, specializes in AI core skills, and maintains a 0.73 response rate."
CAND_0069767,71,-7.855584,"The candidate has 7.8 years of experience, holds a Customer Support title, specializes in AI core skills, and maintains a 0.45 response rate."
CAND_0059690,72,-7.8942738,"The candidate holds a 2.0-year experience, works as a Civil Engineer, focuses on AI core skills, and maintains a 65% response rate."
CAND_0053877,73,-7.9498744,"The candidate has 7.3 years of experience, is currently an HR Manager, specializes in AI core skills with a score of 0, and maintains a response rate of 0.26."
CAND_0066594,74,-7.9535275,"The candidate has 12.6 years of experience, holds a Civil Engineer title, specializes in AI core skills with a score of 0, and maintains a 0.61 response rate."
CAND_0039483,75,-7.9684057,"The candidate has 9.6 years of experience, holds the title of Project Manager, specializes in AI core skills, and maintains a response rate of 40%."
CAND_0018744,76,-7.9897385,"The candidate has 7.5 years of experience, holds the title of HR Manager, specializes in AI core skills, and maintains a response rate of 0.16."
CAND_0092440,77,-8.005249,"The candidate has 12.7 years of experience, works as a Content Writer, specializes in AI core skills, and maintains a 0.72 response rate."
CAND_0004798,78,-8.017085,"The candidate has 4.2 years of experience, holds a Business Analyst title, specializes in AI core skills (0), and maintains a 0.73 response rate."
CAND_0043479,79,-8.079588,"The candidate has 9.2 years of experience, holds the HR Manager title, possesses AI core skills rated at 0, and maintains a response rate of 0.47."
CAND_0020306,80,-8.104717,"The candidate has 5.3 years of experience, holds the title of Mechanical Engineer, demonstrates strong AI core skills (0), and maintains a 62% response rate."
CAND_0005264,81,-8.112768,"The candidate has 1.7 years of experience, holds the title of Project Manager, specializes in AI core skills (0), and maintains a response rate of 0.48."
CAND_0066988,82,-8.120398,"The candidate has 3.9 years of experience, holds a Sales Executive position, possesses strong AI core skills, and maintains a 0.54 response rate."
CAND_0086459,83,-8.1223955,"The candidate has 12.5 years of experience, holds the title of Civil Engineer, specializes in AI core skills (0), and maintains a response rate of 0.16."
CAND_0078738,84,-8.132221,"The candidate has 9.5 years of experience, holds the title of Civil Engineer, specializes in AI core skills with a rating of 0, and maintains a response rate of 0.23"
CAND_0060849,85,-8.164698,"The candidate has 7.6 years of experience, holds the title of Mechanical Engineer, possesses AI core skills at 0, and maintains a response rate of 0.53."
CAND_0048075,86,-8.172274,"The candidate has 8.0 years of experience, currently works as an HR Manager, specializes in AI core skills, and maintains a 0.39 response rate."
CAND_0026254,87,-8.1806965,"The candidate has 9.5 years of experience, holds a Customer Support role, specializes in AI core skills, and maintains a 61% response rate."
CAND_0062396,88,-8.181101,"The candidate has 1.7 years of experience, holds the title of Civil Engineer, specializes in AI core skills (0 listed), and maintains a response rate of 0.29."
CAND_0091435,89,-8.190214,"The candidate has 9.8 years of experience, holds the title of Mechanical Engineer, possesses AI core skills, and maintains a response rate of 0.73."
CAND_0094194,90,-8.213266,"The candidate has 8.8 years of experience, holds the HR Manager title, specializes in AI core skills (0), and maintains a 0.23 response rate."
CAND_0017400,91,-8.218395,"The candidate has 8.6 years of experience, holds the Project Manager title, possesses AI core skills rated at 0, and maintains a response rate of 0.09."
CAND_0026154,92,-8.225595,The candidate has 8.4 years of experience as an Operations Manager with a response rate of 19%.
CAND_0098199,93,-8.254019,"The candidate has 7.5 years of experience, holds a Civil Engineer title, specializes in AI core skills, and maintains a 0.27 response rate."
CAND_0065458,94,-8.259581,"The candidate has 8.5 years of experience, currently serves as a Sales Executive, specializes in AI core skills, and maintains a response rate of 0.68."
CAND_0004374,95,-8.265379,"The candidate has 6.2 years of experience, currently works as a Sales Executive, possesses AI core skills with a score of 0, and maintains a response rate of 65%."
CAND_0050407,96,-8.285027,The candidate brings 14.2 years of experience as an HR Manager with strong AI core skills and a response rate of 8%.
CAND_0027177,97,-8.303267,"The candidate has 13.7 years of experience, holds the title of Mechanical Engineer, specializes in AI core skills (0), and maintains a response rate of 0.53."
CAND_0056983,98,-8.305907,"The candidate has 12.3 years of experience, holds an Accountant position, specializes in AI core skills, and maintains a 0.63 response rate."
CAND_0065586,99,-8.351652,"The candidate has 5.1 years of experience, holds the Project Manager title, specializes in AI core skills (none listed), and maintains a response rate of 0.77."
CAND_0085781,100,-8.379557,"The candidate has 5.2 years of experience, holds the title of HR Manager, possesses AI core skills score 0, and maintains a response rate of 0.55."
